ngram,freq,ant,joy,tru,fea,sur,sad,dis,ang,none,max.value,max.prop
가깝/VA,2,0,0,1,0,0,0,0,0,0,tru,1
가슴/NNG,5,0,0,0,0,0,0,0,0,1,none,1
각별/XR,2,0,0,1,0,0,0,0,0,0,tru,1
각별히/MAG,1,0,0,1,0,0,0,0,0,0,tru,1
감/NNG,2,1,0,0,0,0,0,0,0,0,ant,1
감동/NNG,2,0,1,0.5,0,0,0,0,0,0,joy,1
감사/NNG,1,0,0.5,1,0,0,0,0,0,0,tru,1
감탄사/NNG,1,0,0,1,0,0,0,0,0,0,tru,1
강박/NNG,1,0,0,0,1,0,0,0,0,0,fea,1
거리낌/NNG,1,0,0,1,0,0,0,0,0,0,tru,1
거칠/VA,1,0,0,0,0,0,0,0,1,0,ang,1
걱정/NNG,2,0,0,0,0,0,1,0,0,0,sad,1
경쟁/NNG,2,0.5,0,0,0,0,0,0,1,0,ang,1
고마움/NNG,2,0,1,0.5,0,0,0,0,0,0,joy,1
고심/NNG,1,0,0,0,1,0,0,0,0,0,fea,1
고이/VV,1,0,0,0,0,0,0,1,0,0,dis,1
공통/NNG,1,0,0,0,0,0,0,0,0,1,none,1
교류/NNG,2,0,0,0,0,0,0,0,0,1,none,1
굶주리/VV,1,0,0,0,0,0,1,0.5,0,0,sad,1
궁상/NNG,1,0,0,0,0,0,0.5,1,0,0,dis,1
궁핍/NNG,1,0,0,0,0,0,1,0.5,0,0,sad,1
권력욕/NNG,1,0,0,0,0,0,0,1,0,0,dis,1
근로/NNG,1,0,0,0,0,0,0,1,0.5,0,dis,1
기대/NNG,8,1,0,0,0,0,0,0,0,0,ant,1
기뻐하/VV,2,0,1,0,0,0,0,0,0,0,joy,1
기쁨/NNG,1,0,1,0,0,0,0,0,0,0,joy,1
기색/NNG,1,0,0,0,0,0,0,0,0,1,none,1
긴장/NNG,2,0,0,0,1,0,0,0,0,0,fea,1
꺾이/VV,1,0,0,0,0,0,1,0,0,0,sad,1
꼬/VV,1,0,0,0,0,0,0,1,0,0,dis,1
내맘/NNG,1,0,0,0,0,0,0,0,0,1,none,1
내부/NNG,1,0,0,0,0,0,0,0,0,1,none,1
녹아내리/VV,1,0,1,0,0,0,0,0,0,0,joy,1
놀랍/VA,3,0,0,0,0,1,0,0,0,0,sur,1
놓/VV,2,0,0,0,0,0,0,0,0,1,none,1
눈물/NNG,3,0,0,0,0,0,1,0,0,0,sad,1
느끼/VV,12,0,0,0,0,0,0,0,0,1,none,1
닫/VV,2,0,0,0,0,0,1,0.5,0,0,sad,1
달래/VV,1,0,0,1,0,0,0,0,0,0,tru,1
담담히/MAG,1,0,0,1,0,0,0,0,0,0,tru,1
도취/NNG,1,0.5,1,0,0,0,0,0,0,0,joy,1
